state,year,tmax
Arizona,1954,83.6
Arizona,1954,90.1
Arizona,1954,94.1
Arizona,1954,89.8
Arizona,1954,88.2
Arizona,1954,79.5
Arizona,1954,68.6
Arizona,1954,55.4
Arizona,1955,47.9
Arizona,1955,52.8
Arizona,1955,64.4
Arizona,1955,70.6
Arizona,1955,79.2
Arizona,1955,89.4
Arizona,1955,91.5
Arizona,1955,89.0
Arizona,1955,89.2
Arizona,1955,80.6
Arizona,1955,63.5
Arizona,1955,58.9
Arizona,1956,58.4
Arizona,1956,53.1
Arizona,1956,67.7
Arizona,1956,70.3
Arizona,1956,83.7
Arizona,1956,93.9
Arizona,1956,92.9
Arizona,1956,91.0
Arizona,1956,92.4
Arizona,1956,77.0
Arizona,1956,62.3
Arizona,1956,56.4
Arizona,1957,51.9
Arizona,1957,63.2
Arizona,1957,63.2
Arizona,1957,69.6
Arizona,1957,75.5
Arizona,1957,92.0
Arizona,1957,94.2
Arizona,1957,89.8
Arizona,1957,88.4
Arizona,1957,70.7
Arizona,1957,56.7
Arizona,1957,57.6
Arizona,1958,55.0
Arizona,1958,59.7
Arizona,1958,55.8
Arizona,1958,69.6
Arizona,1958,86.0
Arizona,1958,92.6
Arizona,1958,95.3
Arizona,1958,92.8
Arizona,1958,85.4
Arizona,1958,76.4
Arizona,1958,62.7
Arizona,1958,62.4
Arizona,1959,57.8
Arizona,1959,55.8
Arizona,1959,66.2
Arizona,1959,75.9
Arizona,1959,80.2
Arizona,1959,93.9
Arizona,1959,96.2
Arizona,1959,88.6
Arizona,1959,86.0
Arizona,1959,76.8
Arizona,1959,63.0
Arizona,1959,53.9
Arizona,1960,47.6
Arizona,1960,52.7
Arizona,1960,67.9
Arizona,1960,74.2
Arizona,1960,81.8
Arizona,1960,94.8
Arizona,1960,96.5
Arizona,1960,93.8
Arizona,1960,89.4
Arizona,1960,73.0
Arizona,1960,64.2
Arizona,1960,52.1
Arizona,1961,55.5
Arizona,1961,60.1
Arizona,1961,63.2
Arizona,1961,73.4
Arizona,1961,81.7
Arizona,1961,94.5
Arizona,1961,95.3
Arizona,1961,90.3
Arizona,1961,83.2
Arizona,1961,75.1
Arizona,1961,58.7
Arizona,1961,50.5
Arizona,1962,50.8
Arizona,1962,56.6
Arizona,1962,58.0
Arizona,1962,78.1
Arizona,1962,79.4
Arizona,1962,90.1
Arizona,1962,93.7
Arizona,1962,95.4
Arizona,1962,87.1
Arizona,1962,76.9
Arizona,1962,67.2
Arizona,1962,56.8
Arizona,1963,50.2
Arizona,1963,63.3
Arizona,1963,63.0
Arizona,1963,69.6
Arizona,1963,84.8
Arizona,1963,88.2
Arizona,1963,96.2
Arizona,1963,88.6
Arizona,1963,87.9
Arizona,1963,79.0
Arizona,1963,63.0
Arizona,1963,56.0
Arizona,1964,51.8
Arizona,1964,54.2
Arizona,1964,58.9
Arizona,1964,68.5
Arizona,1964,80.4
Arizona,1964,89.0
Arizona,1964,94.9
Arizona,1964,89.6
Arizona,1964,84.1
Arizona,1964,80.7
Arizona,1964,59.0
Arizona,1964,54.0
Arizona,1965,55.4
Arizona,1965,56.6
Arizona,1965,59.3
Arizona,1965,68.5
Arizona,1965,77.2
Arizona,1965,85.0
Arizona,1965,92.6
Arizona,1965,92.5
Arizona,1965,82.9
Arizona,1965,80.2
Arizona,1965,65.3
Arizona,1965,52.5
Arizona,1966,50.2
Arizona,1966,51.5
Arizona,1966,66.2
Arizona,1966,74.6
Arizona,1966,84.5
Arizona,1966,90.9
Arizona,1966,94.6
Arizona,1966,92.3
Arizona,1966,85.6
Arizona,1966,75.6
Arizona,1966,66.2
Arizona,1966,54.4
Arizona,1967,54.8
Arizona,1967,61.9
Arizona,1967,67.6
Arizona,1967,67.0
Arizona,1967,80.1
Arizona,1967,86.7
Arizona,1967,93.4
Arizona,1967,91.8
Arizona,1967,84.8
Arizona,1967,79.3
Arizona,1967,67.3
Arizona,1967,47.4
Arizona,1968,50.7
Arizona,1968,61.1
Arizona,1968,63.1
Arizona,1968,68.4
Arizona,1968,80.6
Arizona,1968,92.1
Arizona,1968,92.3
Arizona,1968,87.3
Arizona,1968,87.1
Arizona,1968,77.5
Arizona,1968,62.1
Arizona,1968,51.4
Arizona,1969,55.7
Arizona,1969,54.7
Arizona,1969,59.8
Arizona,1969,73.6
Arizona,1969,83.3
Arizona,1969,88.7
Arizona,1969,94.1
Arizona,1969,94.9
Arizona,1969,87.9
Arizona,1969,71.9
Arizona,1969,61.5
Arizona,1969,56.7
Arizona,1970,54.4
Arizona,1970,61.6
Arizona,1970,60.2
Arizona,1970,66.7
Arizona,1970,83.1
Arizona,1970,91.2
Arizona,1970,95.2
Arizona,1970,92.6
Arizona,1970,84.1
Arizona,1970,71.9
Arizona,1970,65.4
Arizona,1970,54.3
Arizona,1971,56.0
Arizona,1971,58.6
Arizona,1971,67.0
Arizona,1971,71.0
Arizona,1971,77.1
Arizona,1971,90.6
Arizona,1971,96.8
Arizona,1971,89.4
Arizona,1971,86.0
Arizona,1971,69.2
Arizona,1971,61.4
Arizona,1971,48.6
Arizona,1972,56.0
Arizona,1972,63.1
Arizona,1972,73.8
Arizona,1972,74.6
Arizona,1972,82.1
Arizona,1972,89.5
Arizona,1972,96.5
Arizona,1972,91.1
Arizona,1972,85.5
Arizona,1972,69.7
Arizona,1972,56.8
Arizona,1972,51.0
Arizona,1973,48.6
Arizona,1973,54.1
Arizona,1973,54.4
Arizona,1973,67.1
Arizona,1973,81.8
Arizona,1973,90.8
